Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
Endo CLDN5 SLC7A5,Excitatory neuron,8.0,22.22222222222222,11.76470588235294,6.25,4,50,18,Neuron,22.0,6.358381502890173,9.865470852017937,5.188679245283019,11,50,173,Pyramidal cells,6.0,8.571428571428571,7.0588235294117645,3.6585365853658534,3,50,35
Oligo MOG OPALIN,Oligodendrocytes,16.0,9.090909090909092,11.594202898550725,6.153846153846154,8,50,88,Oligodendrocyte,18.0,4.918032786885246,7.725321888412016,4.017857142857143,9,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5
Astro AQP4 SLC1A2,Astrocyte,26.0,6.220095693779904,10.038610038610038,5.284552845528456,13,50,209,Astrocytes,8.0,6.349206349206349,7.079646017699115,3.669724770642202,4,50,63,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41
Micro P2RY12 APBB1IP,Microglia,12.0,8.450704225352112,9.917355371900827,5.217391304347826,6,50,71,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Activated cd8+ t cell,2.0,100.0,3.9215686274509802,2.0,1,50,1
Oligo MOG GSN,Oligodendrocyte,18.0,4.918032786885246,7.725321888412016,4.017857142857143,9,50,183,Oligodendrocytes,10.0,5.681818181818182,7.246376811594203,3.7593984962406015,5,50,88,Mature oligodendrocyte,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
Astro GFAP AQP1,Fibrous astrocyte,4.0,100.0,7.6923076923076925,4.0,2,50,2,Mature astrocyte,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Astrocyte,18.0,4.30622009569378,6.94980694980695,3.5999999999999996,9,50,209
InN LAMP5 BMP7,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Inhibitory neuron,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6,Interneuron,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7
PC P2RY14 GRM8,Mural cell,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7,Pericyte,4.0,10.526315789473683,5.797101449275362,2.9850746268656714,2,50,19,Lake et al.science.ex6,4.0,5.88235294117647,4.761904761904763,2.4390243902439024,2,50,34
InN SST FREM1,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173
InN VIP HS3ST3B1,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35,Neuroblasts,4.0,4.0,4.0,2.0408163265306123,2,50,50,Parvalbumin interneuron,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4
L2-3 CUX2 ACVR1C THSD7A,Neurons,10.0,2.4630541871921183,3.952569169960475,2.0161290322580645,5,50,203,Pan-neuronal cell,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
